patient_id,first_name,last_name,national_id,gender,age,city,province,visit_reason,department
5026,Zahra,Moradi,8594600569,Female,90,Shiraz,Fars,Cataract Surgery,Ophthalmology
5027,Ali,Moradi,7764271901,Male,80,Mashhad,Razavi Khorasan,Rhinoplasty (Elective),ENT / Plastic Surgery
5028,Sara,Ahmadi,7118636592,Female,7,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5029,Reza,Moradi,9481979148,Male,56,Shiraz,Fars,Pneumonia,Infectious Diseases
5030,Elnaz,Karimi,6656249639,Female,53,Isfahan,Isfahan,Road Traffic Accident (Trauma),Emergency/Orthopedics
5031,Mohammad,Rezai,6366940762,Male,16,Tehran,Tehran,Type 2 Diabetes Follow-up,Endocrinology
5032,Mehdi,Karimi,5053341321,Male,57,Mashhad,Razavi Khorasan,Chest Pain / Suspected MI,Cardiology
5033,Fatemeh,Rezai,8101467912,Female,13,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5034,Farhad,Hosseini,5206054720,Male,47,Tehran,Tehran,Kidney Stones (Renal Colic),Urology
5035,Amir,Ahmadi,5678109881,Male,79,Tehran,Tehran,Chest Pain / Suspected MI,Cardiology
5036,Farhad,Ghasemi,5852137952,Male,2,Shiraz,Fars,Type 2 Diabetes Follow-up,Endocrinology
5037,Mohammad,Hosseini,0402401816,Male,4,Mashhad,Razavi Khorasan,Hypertension Crisis,Internal Medicine
5038,Sara,Rezai,4841914961,Female,21,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5039,Mohammad,Ghasemi,0545883466,Male,2,Isfahan,Isfahan,Kidney Stones (Renal Colic),Urology
5040,Zahra,Rezai,3606118228,Female,16,Isfahan,Isfahan,Rhinoplasty (Elective),ENT / Plastic Surgery
5041,Mohammad,Karimi,3763696512,Male,72,Tehran,Tehran,Chest Pain / Suspected MI,Cardiology
5042,Mohammad,Hashemi,6100422093,Male,59,Mashhad,Razavi Khorasan,Cataract Surgery,Ophthalmology
5043,Sara,Hosseini,9299013489,Female,45,Mashhad,Razavi Khorasan,Asthma / Respiratory Distress,Pulmonology
5044,Elnaz,Karimi,1720726760,Female,44,Mashhad,Razavi Khorasan,Hypertension Crisis,Internal Medicine
5045,Maryam,Moradi,5162016659,Female,15,Isfahan,Isfahan,Gastroenteritis,Internal Medicine
5046,Mohammad,Ghasemi,0794324096,Male,81,Mashhad,Razavi Khorasan,Infertility Consultation,Gynecology/IVF
5047,Zahra,Karimi,1429678674,Female,31,Mashhad,Razavi Khorasan,Hypertension Crisis,Internal Medicine
5048,Elnaz,Hashemi,5550111047,Female,5,Mashhad,Razavi Khorasan,Gastroenteritis,Internal Medicine
5049,Arash,Karimi,8137387064,Male,89,Isfahan,Isfahan,Acute Appendicitis,General Surgery
5050,Zahra,Hashemi,6257025850,Female,68,Mashhad,Razavi Khorasan,Chest Pain / Suspected MI,Cardiology
5051,Sara,Moradi,1584699337,Female,10,Shiraz,Fars,Rhinoplasty (Elective),ENT / Plastic Surgery
5052,Mohammad,Hashemi,3256482090,Male,35,Shiraz,Fars,Infertility Consultation,Gynecology/IVF
5053,Ali,Karimi,7895984039,Male,33,Isfahan,Isfahan,Road Traffic Accident (Trauma),Emergency/Orthopedics
5054,Fatemeh,Moradi,2919537911,Female,27,Isfahan,Isfahan,Gastroenteritis,Internal Medicine
5055,Arash,Ghasemi,8588080710,Male,87,Tehran,Tehran,Gastroenteritis,Internal Medicine
5056,Mohammad,Karimi,7885882713,Male,38,Tehran,Tehran,Asthma / Respiratory Distress,Pulmonology
5057,Fatemeh,Moradi,5261049040,Female,67,Shiraz,Fars,Cataract Surgery,Ophthalmology
5058,Ali,Rezai,8380984668,Male,32,Tehran,Tehran,Pneumonia,Infectious Diseases
5059,Mina,Karimi,6267699773,Female,84,Tehran,Tehran,Infertility Consultation,Gynecology/IVF
5060,Maryam,Mousavi,9474792518,Female,45,Isfahan,Isfahan,Gastroenteritis,Internal Medicine
5061,Mehdi,Ahmadi,5916720602,Male,65,Mashhad,Razavi Khorasan,Type 2 Diabetes Follow-up,Endocrinology
5062,Farhad,Moradi,5778771444,Male,5,Tehran,Tehran,Kidney Stones (Renal Colic),Urology
5063,Reza,Hosseini,9512313413,Male,88,Shiraz,Fars,Cataract Surgery,Ophthalmology
5064,Sara,Rezai,5914551791,Female,41,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5065,Amir,Karimi,6303063306,Male,59,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5066,Hossein,Hosseini,3025690267,Male,40,Isfahan,Isfahan,Pneumonia,Infectious Diseases
5067,Ali,Ahmadi,6319307277,Male,56,Mashhad,Razavi Khorasan,Chest Pain / Suspected MI,Cardiology
5068,Amir,Mousavi,6065862819,Male,18,Tehran,Tehran,Pneumonia,Infectious Diseases
5069,Arash,Karimi,4928679172,Male,75,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5070,Narges,Mousavi,2500427072,Female,90,Isfahan,Isfahan,Hypertension Crisis,Internal Medicine
5071,Fatemeh,Mousavi,4691231978,Female,55,Isfahan,Isfahan,Gastroenteritis,Internal Medicine
5072,Sepideh,Karimi,0461273195,Female,74,Tehran,Tehran,Hypertension Crisis,Internal Medicine
5073,Mina,Hosseini,2911130782,Female,64,Mashhad,Razavi Khorasan,Cataract Surgery,Ophthalmology
5074,Maryam,Ghasemi,6009674808,Female,50,Mashhad,Razavi Khorasan,Pneumonia,Infectious Diseases
5075,Hossein,Ghasemi,0293607176,Male,20,Isfahan,Isfahan,Road Traffic Accident (Trauma),Emergency/Orthopedics
5076,Reza,Rezai,3731071320,Male,55,Mashhad,Razavi Khorasan,Rhinoplasty (Elective),ENT / Plastic Surgery
5077,Ali,Mousavi,3925009647,Male,2,Isfahan,Isfahan,Pneumonia,Infectious Diseases
5078,Arash,Ahmadi,3444945401,Male,58,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5079,Amir,Karimi,6647675884,Male,40,Tehran,Tehran,Asthma / Respiratory Distress,Pulmonology
5080,Mohammad,Moradi,1864138297,Male,13,Tehran,Tehran,Gastroenteritis,Internal Medicine
5081,Maryam,Rezai,0179928570,Female,46,Mashhad,Razavi Khorasan,Cataract Surgery,Ophthalmology
5082,Ali,Hosseini,9872676038,Male,83,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5083,Maryam,Rezai,8293417269,Female,21,Mashhad,Razavi Khorasan,Gastroenteritis,Internal Medicine
5084,Mina,Moradi,1101025697,Female,35,Tehran,Tehran,Rhinoplasty (Elective),ENT / Plastic Surgery
5085,Arash,Hashemi,0516535961,Male,37,Isfahan,Isfahan,Kidney Stones (Renal Colic),Urology
5086,Fatemeh,Karimi,7498606720,Female,32,Tehran,Tehran,Acute Appendicitis,General Surgery
5087,Farhad,Karimi,8777236475,Male,17,Tehran,Tehran,Cataract Surgery,Ophthalmology
5088,Mohammad,Hosseini,2022229010,Male,21,Isfahan,Isfahan,Hypertension Crisis,Internal Medicine
5089,Sepideh,Hosseini,2959688090,Female,71,Shiraz,Fars,Rhinoplasty (Elective),ENT / Plastic Surgery
5090,Hossein,Moradi,7907283906,Male,2,Shiraz,Fars,Gastroenteritis,Internal Medicine
5091,Reza,Hashemi,2122797630,Male,82,Tehran,Tehran,Kidney Stones (Renal Colic),Urology
5092,Fatemeh,Ghasemi,4124677979,Female,43,Shiraz,Fars,Rhinoplasty (Elective),ENT / Plastic Surgery
5093,Narges,Rezai,7379506846,Female,36,Tehran,Tehran,Cataract Surgery,Ophthalmology
5094,Mehdi,Hashemi,8439730004,Male,68,Mashhad,Razavi Khorasan,Rhinoplasty (Elective),ENT / Plastic Surgery
5095,Hossein,Moradi,8043264899,Male,68,Isfahan,Isfahan,Type 2 Diabetes Follow-up,Endocrinology
5096,Ali,Rezai,4796607420,Male,81,Shiraz,Fars,Infertility Consultation,Gynecology/IVF
5097,Mohammad,Hashemi,0989200744,Male,5,Shiraz,Fars,Acute Appendicitis,General Surgery
5098,Elnaz,Ahmadi,8445705709,Female,17,Tehran,Tehran,Road Traffic Accident (Trauma),Emergency/Orthopedics
5099,Ali,Ghasemi,7734048285,Male,41,Tehran,Tehran,Asthma / Respiratory Distress,Pulmonology
5100,Mina,Rezai,6074053243,Female,58,Mashhad,Razavi Khorasan,Acute Appendicitis,General Surgery
5101,Farhad,Hashemi,9298758308,Male,3,Mashhad,Razavi Khorasan,Acute Appendicitis,General Surgery
5102,Hossein,Hosseini,0692805370,Male,82,Mashhad,Razavi Khorasan,Kidney Stones (Renal Colic),Urology
5103,Farhad,Ghasemi,6013576998,Male,72,Mashhad,Razavi Khorasan,Rhinoplasty (Elective),ENT / Plastic Surgery
5104,Sepideh,Hashemi,1044508868,Female,41,Shiraz,Fars,Rhinoplasty (Elective),ENT / Plastic Surgery
5105,Mohammad,Rezai,1128586381,Male,10,Isfahan,Isfahan,Pneumonia,Infectious Diseases
5106,Fatemeh,Hashemi,2007710862,Female,14,Tehran,Tehran,Gastroenteritis,Internal Medicine
5107,Amir,Ghasemi,2299566899,Male,9,Mashhad,Razavi Khorasan,Gastroenteritis,Internal Medicine
5108,Mehdi,Rezai,6530254595,Male,53,Isfahan,Isfahan,Kidney Stones (Renal Colic),Urology
5109,Farhad,Ahmadi,5428250569,Male,48,Tehran,Tehran,Infertility Consultation,Gynecology/IVF
5110,Reza,Moradi,5401680392,Male,10,Isfahan,Isfahan,Rhinoplasty (Elective),ENT / Plastic Surgery
5111,Arash,Karimi,7768036611,Male,27,Isfahan,Isfahan,Chest Pain / Suspected MI,Cardiology
5112,Amir,Karimi,4060073237,Male,50,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5113,Amir,Rezai,3086316365,Male,35,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5114,Elnaz,Hosseini,1664417125,Female,86,Mashhad,Razavi Khorasan,Gastroenteritis,Internal Medicine
5115,Farhad,Hashemi,4998003453,Male,84,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5116,Hossein,Karimi,3510230981,Male,72,Tehran,Tehran,Infertility Consultation,Gynecology/IVF
5117,Sepideh,Hashemi,5733126711,Female,57,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5118,Maryam,Hashemi,4165673242,Female,90,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5119,Farhad,Ghasemi,3732883353,Male,74,Isfahan,Isfahan,Road Traffic Accident (Trauma),Emergency/Orthopedics
5120,Maryam,Moradi,6214803703,Female,8,Mashhad,Razavi Khorasan,Asthma / Respiratory Distress,Pulmonology
5121,Hossein,Hosseini,5662376441,Male,26,Mashhad,Razavi Khorasan,Kidney Stones (Renal Colic),Urology
5122,Zahra,Mousavi,1231144769,Female,20,Tehran,Tehran,Type 2 Diabetes Follow-up,Endocrinology
5123,Fatemeh,Ahmadi,2757879286,Female,14,Mashhad,Razavi Khorasan,Acute Appendicitis,General Surgery
5124,Mehdi,Mousavi,7775254513,Male,18,Isfahan,Isfahan,Acute Appendicitis,General Surgery
5125,Mohammad,Hosseini,7946966301,Male,2,Shiraz,Fars,Hypertension Crisis,Internal Medicine
5126,Hossein,Mousavi,5035770338,Male,55,Shiraz,Fars,Gastroenteritis,Internal Medicine
5127,Ali,Rezai,1364125285,Male,9,Tehran,Tehran,Kidney Stones (Renal Colic),Urology
5128,Zahra,Hosseini,0282709681,Female,61,Mashhad,Razavi Khorasan,Infertility Consultation,Gynecology/IVF
5129,Zahra,Hosseini,9455778841,Female,21,Tehran,Tehran,Infertility Consultation,Gynecology/IVF
5130,Sara,Karimi,0547640005,Female,3,Mashhad,Razavi Khorasan,Kidney Stones (Renal Colic),Urology
5131,Narges,Ghasemi,9984079899,Female,78,Mashhad,Razavi Khorasan,Asthma / Respiratory Distress,Pulmonology
5132,Sara,Rezai,5683877075,Female,78,Mashhad,Razavi Khorasan,Gastroenteritis,Internal Medicine
5133,Hossein,Mousavi,5894995744,Male,65,Shiraz,Fars,Acute Appendicitis,General Surgery
5134,Maryam,Ghasemi,2887642359,Female,42,Tehran,Tehran,Road Traffic Accident (Trauma),Emergency/Orthopedics
5135,Amir,Rezai,7215130592,Male,30,Tehran,Tehran,Acute Appendicitis,General Surgery
5136,Mohammad,Ghasemi,1674572506,Male,46,Tehran,Tehran,Asthma / Respiratory Distress,Pulmonology
5137,Maryam,Ghasemi,1688805885,Female,58,Shiraz,Fars,Type 2 Diabetes Follow-up,Endocrinology
5138,Mohammad,Hosseini,4957318522,Male,31,Shiraz,Fars,Road Traffic Accident (Trauma),Emergency/Orthopedics
5139,Sara,Karimi,4469324817,Female,17,Mashhad,Razavi Khorasan,Cataract Surgery,Ophthalmology
5140,Mohammad,Hosseini,9447749577,Male,72,Tehran,Tehran,Asthma / Respiratory Distress,Pulmonology
5141,Hossein,Ghasemi,8366402681,Male,3,Shiraz,Fars,Hypertension Crisis,Internal Medicine
5142,Mehdi,Hashemi,3277837114,Male,15,Tehran,Tehran,Asthma / Respiratory Distress,Pulmonology
5143,Fatemeh,Ahmadi,0329130447,Female,16,Tehran,Tehran,Rhinoplasty (Elective),ENT / Plastic Surgery
5144,Sepideh,Mousavi,0252410106,Female,23,Tehran,Tehran,Type 2 Diabetes Follow-up,Endocrinology
5145,Zahra,Hosseini,1769999272,Female,10,Isfahan,Isfahan,Acute Appendicitis,General Surgery
5146,Mohammad,Moradi,9269834190,Male,48,Tehran,Tehran,Gastroenteritis,Internal Medicine
5147,Farhad,Hosseini,2318682720,Male,75,Shiraz,Fars,Gastroenteritis,Internal Medicine
5148,Amir,Ahmadi,6809296565,Male,74,Isfahan,Isfahan,Acute Appendicitis,General Surgery
5149,Elnaz,Karimi,2791836888,Female,85,Tehran,Tehran,Pneumonia,Infectious Diseases
5150,Mehdi,Ahmadi,4316973428,Male,4,Shiraz,Fars,Type 2 Diabetes Follow-up,Endocrinology
5151,Hossein,Karimi,8546297398,Male,53,Shiraz,Fars,Cataract Surgery,Ophthalmology
5152,Ali,Moradi,4634559749,Male,32,Tehran,Tehran,Hypertension Crisis,Internal Medicine
5153,Sepideh,Moradi,9559492276,Female,23,Isfahan,Isfahan,Rhinoplasty (Elective),ENT / Plastic Surgery
5154,Narges,Karimi,2162072742,Female,54,Shiraz,Fars,Pneumonia,Infectious Diseases
5155,Amir,Hosseini,8722163174,Male,33,Isfahan,Isfahan,Hypertension Crisis,Internal Medicine
5156,Mehdi,Mousavi,9025568221,Male,64,Mashhad,Razavi Khorasan,Cataract Surgery,Ophthalmology
5157,Farhad,Rezai,3258004749,Male,4,Shiraz,Fars,Acute Appendicitis,General Surgery
5158,Mohammad,Ghasemi,6640193825,Male,48,Isfahan,Isfahan,Chest Pain / Suspected MI,Cardiology
5159,Maryam,Moradi,5391869641,Female,62,Isfahan,Isfahan,Asthma / Respiratory Distress,Pulmonology
5160,Amir,Karimi,3460332549,Male,3,Isfahan,Isfahan,Cataract Surgery,Ophthalmology
5161,Hossein,Hashemi,8658058557,Male,28,Shiraz,Fars,Rhinoplasty (Elective),ENT / Plastic Surgery
5162,Reza,Rezai,4587310182,Male,55,Isfahan,Isfahan,Kidney Stones (Renal Colic),Urology
5163,Ali,Rezai,4024347268,Male,18,Tehran,Tehran,Acute Appendicitis,General Surgery
5164,Mina,Ghasemi,2139306716,Female,49,Mashhad,Razavi Khorasan,Chest Pain / Suspected MI,Cardiology
5165,Zahra,Karimi,9089721592,Female,75,Tehran,Tehran,Acute Appendicitis,General Surgery
5166,Farhad,Mousavi,8790442520,Male,50,Mashhad,Razavi Khorasan,Acute Appendicitis,General Surgery
5167,Hossein,Karimi,3568032708,Male,42,Isfahan,Isfahan,Chest Pain / Suspected MI,Cardiology
5168,Maryam,Karimi,6986555709,Female,64,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5169,Farhad,Moradi,6202015020,Male,82,Tehran,Tehran,Gastroenteritis,Internal Medicine
5170,Sara,Ahmadi,2390164315,Female,39,Shiraz,Fars,Hypertension Crisis,Internal Medicine
5171,Arash,Moradi,4304690485,Male,11,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5172,Hossein,Mousavi,7396848857,Male,23,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5173,Mohammad,Karimi,3125598028,Male,89,Shiraz,Fars,Infertility Consultation,Gynecology/IVF
5174,Ali,Ghasemi,7951006122,Male,6,Shiraz,Fars,Chest Pain / Suspected MI,Cardiology
5175,Amir,Hashemi,5764591481,Male,48,Tehran,Tehran,Gastroenteritis,Internal Medicine
5176,Sara,Ahmadi,2327266408,Female,36,Isfahan,Isfahan,Rhinoplasty (Elective),ENT / Plastic Surgery
5177,Mohammad,Mousavi,0409793965,Male,39,Isfahan,Isfahan,Pneumonia,Infectious Diseases
5178,Mehdi,Hashemi,9284923239,Male,65,Isfahan,Isfahan,Road Traffic Accident (Trauma),Emergency/Orthopedics
5179,Sepideh,Hosseini,1842714600,Female,29,Tehran,Tehran,Chest Pain / Suspected MI,Cardiology
5180,Narges,Ghasemi,9382756892,Female,89,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5181,Arash,Moradi,1021327883,Male,43,Isfahan,Isfahan,Type 2 Diabetes Follow-up,Endocrinology
5182,Arash,Hashemi,3755041499,Male,9,Shiraz,Fars,Cataract Surgery,Ophthalmology
5183,Maryam,Moradi,2434281559,Female,80,Shiraz,Fars,Infertility Consultation,Gynecology/IVF
5184,Farhad,Ahmadi,5365002156,Male,43,Mashhad,Razavi Khorasan,Chest Pain / Suspected MI,Cardiology
5185,Hossein,Hosseini,2651680044,Male,6,Tehran,Tehran,Chest Pain / Suspected MI,Cardiology
5186,Reza,Mousavi,0254425992,Male,77,Mashhad,Razavi Khorasan,Acute Appendicitis,General Surgery
5187,Elnaz,Ghasemi,8274047583,Female,85,Mashhad,Razavi Khorasan,Gastroenteritis,Internal Medicine
5188,Ali,Hosseini,7858099264,Male,64,Isfahan,Isfahan,Asthma / Respiratory Distress,Pulmonology
5189,Maryam,Rezai,2071530527,Female,51,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5190,Ali,Moradi,9393689814,Male,13,Tehran,Tehran,Type 2 Diabetes Follow-up,Endocrinology
5191,Zahra,Hosseini,1414934920,Female,32,Shiraz,Fars,Acute Appendicitis,General Surgery
5192,Hossein,Mousavi,4886764282,Male,6,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5193,Farhad,Hashemi,6831967000,Male,41,Shiraz,Fars,Infertility Consultation,Gynecology/IVF
5194,Mina,Ahmadi,1297482476,Female,50,Shiraz,Fars,Chest Pain / Suspected MI,Cardiology
5195,Maryam,Mousavi,7205543428,Female,62,Mashhad,Razavi Khorasan,Chest Pain / Suspected MI,Cardiology
5196,Mohammad,Ghasemi,5418549340,Male,40,Mashhad,Razavi Khorasan,Infertility Consultation,Gynecology/IVF
5197,Maryam,Ahmadi,7610788643,Female,70,Isfahan,Isfahan,Road Traffic Accident (Trauma),Emergency/Orthopedics
5198,Sara,Moradi,7762314326,Female,29,Tehran,Tehran,Pneumonia,Infectious Diseases
5199,Amir,Hashemi,8123536062,Male,19,Tehran,Tehran,Road Traffic Accident (Trauma),Emergency/Orthopedics
5200,Amir,Karimi,1162560101,Male,7,Shiraz,Fars,Cataract Surgery,Ophthalmology
5201,Mehdi,Moradi,1757009051,Male,48,Isfahan,Isfahan,Pneumonia,Infectious Diseases
5202,Mehdi,Ahmadi,7864156711,Male,79,Shiraz,Fars,Chest Pain / Suspected MI,Cardiology
5203,Maryam,Moradi,6489920182,Female,46,Tehran,Tehran,Rhinoplasty (Elective),ENT / Plastic Surgery
5204,Mina,Ghasemi,1020894717,Female,31,Isfahan,Isfahan,Acute Appendicitis,General Surgery
5205,Mohammad,Ahmadi,7853570244,Male,8,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5206,Fatemeh,Ghasemi,8872454573,Female,5,Mashhad,Razavi Khorasan,Cataract Surgery,Ophthalmology
5207,Ali,Ghasemi,1379716209,Male,55,Shiraz,Fars,Road Traffic Accident (Trauma),Emergency/Orthopedics
5208,Elnaz,Hosseini,7707612884,Female,34,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5209,Ali,Ahmadi,3155146362,Male,40,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5210,Elnaz,Hashemi,3078067866,Female,15,Shiraz,Fars,Acute Appendicitis,General Surgery
5211,Mina,Ghasemi,9014797362,Female,5,Tehran,Tehran,Infertility Consultation,Gynecology/IVF
5212,Amir,Rezai,4040702603,Male,35,Shiraz,Fars,Cataract Surgery,Ophthalmology
5213,Mohammad,Moradi,1233498169,Male,63,Tehran,Tehran,Type 2 Diabetes Follow-up,Endocrinology
5214,Narges,Ahmadi,8839121404,Female,14,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5215,Mohammad,Karimi,2596210541,Male,45,Shiraz,Fars,Cataract Surgery,Ophthalmology
5216,Ali,Moradi,4459675412,Male,31,Shiraz,Fars,Road Traffic Accident (Trauma),Emergency/Orthopedics
5217,Hossein,Hosseini,5010105683,Male,53,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5218,Mohammad,Mousavi,9010209628,Male,30,Shiraz,Fars,Type 2 Diabetes Follow-up,Endocrinology
5219,Narges,Mousavi,6496304831,Female,80,Isfahan,Isfahan,Kidney Stones (Renal Colic),Urology
5220,Maryam,Rezai,5773455196,Female,2,Mashhad,Razavi Khorasan,Acute Appendicitis,General Surgery
5221,Sepideh,Hosseini,0423895631,Female,39,Mashhad,Razavi Khorasan,Asthma / Respiratory Distress,Pulmonology
5222,Mehdi,Ahmadi,8719059655,Male,18,Isfahan,Isfahan,Chest Pain / Suspected MI,Cardiology
5223,Mina,Karimi,4173988923,Female,68,Tehran,Tehran,Gastroenteritis,Internal Medicine
5224,Arash,Hosseini,0081826151,Male,88,Tehran,Tehran,Gastroenteritis,Internal Medicine
5225,Maryam,Hashemi,6391334201,Female,87,Tehran,Tehran,Kidney Stones (Renal Colic),Urology
5226,Mohammad,Ghasemi,7645939311,Male,85,Shiraz,Fars,Cataract Surgery,Ophthalmology
5227,Sepideh,Ghasemi,8483959593,Female,81,Isfahan,Isfahan,Cataract Surgery,Ophthalmology
5228,Sepideh,Hashemi,6546374781,Female,31,Isfahan,Isfahan,Cataract Surgery,Ophthalmology
5229,Hossein,Hosseini,0370963628,Male,59,Isfahan,Isfahan,Road Traffic Accident (Trauma),Emergency/Orthopedics
5230,Fatemeh,Mousavi,9613445511,Female,69,Shiraz,Fars,Cataract Surgery,Ophthalmology
5231,Mohammad,Hashemi,6334343750,Male,70,Shiraz,Fars,Rhinoplasty (Elective),ENT / Plastic Surgery
5232,Arash,Moradi,2632015715,Male,48,Shiraz,Fars,Chest Pain / Suspected MI,Cardiology
5233,Zahra,Ghasemi,4615775644,Female,23,Mashhad,Razavi Khorasan,Chest Pain / Suspected MI,Cardiology
5234,Hossein,Ghasemi,6344097299,Male,3,Mashhad,Razavi Khorasan,Kidney Stones (Renal Colic),Urology
5235,Elnaz,Ahmadi,8997692674,Female,77,Isfahan,Isfahan,Gastroenteritis,Internal Medicine
5236,Reza,Ahmadi,2281280764,Male,73,Mashhad,Razavi Khorasan,Infertility Consultation,Gynecology/IVF
5237,Reza,Rezai,9637296883,Male,78,Mashhad,Razavi Khorasan,Chest Pain / Suspected MI,Cardiology
5238,Mehdi,Moradi,1443202800,Male,34,Shiraz,Fars,Chest Pain / Suspected MI,Cardiology
5239,Mina,Karimi,1545160139,Female,39,Tehran,Tehran,Rhinoplasty (Elective),ENT / Plastic Surgery
5240,Sepideh,Ghasemi,1325713295,Female,49,Shiraz,Fars,Asthma / Respiratory Distress,Pulmonology
5241,Mehdi,Moradi,6598859042,Male,63,Tehran,Tehran,Pneumonia,Infectious Diseases
5242,Arash,Mousavi,2221452127,Male,77,Tehran,Tehran,Acute Appendicitis,General Surgery
5243,Elnaz,Rezai,9710127802,Female,59,Isfahan,Isfahan,Hypertension Crisis,Internal Medicine
5244,Sepideh,Karimi,4146154499,Female,40,Isfahan,Isfahan,Infertility Consultation,Gynecology/IVF
5245,Zahra,Karimi,3261683635,Female,27,Tehran,Tehran,Kidney Stones (Renal Colic),Urology
5246,Sepideh,Mousavi,4963680939,Female,38,Mashhad,Razavi Khorasan,Cataract Surgery,Ophthalmology
5247,Mehdi,Ahmadi,8276225381,Male,42,Shiraz,Fars,Type 2 Diabetes Follow-up,Endocrinology
5248,Maryam,Hosseini,1794590226,Female,21,Isfahan,Isfahan,Pneumonia,Infectious Diseases
5249,Sepideh,Hosseini,7416992028,Female,55,Tehran,Tehran,Hypertension Crisis,Internal Medicine
5250,Maryam,Ahmadi,3341744479,Female,36,Tehran,Tehran,Road Traffic Accident (Trauma),Emergency/Orthopedics
5251,Narges,Karimi,9783136097,Female,16,Mashhad,Razavi Khorasan,Acute Appendicitis,General Surgery
